Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.question,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P5,j7jc2tzb,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.102.236.103,2016-08-23 20:42:40.521625+00:00,0,131,1,,,5,,81,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P7,hrkdfdrf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.7.144.239,2016-08-23 20:43:04.257365+00:00,0,133,1,,,7,,83,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P17,2iriluop,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-23 20:42:21.492861+00:00,0,143,1,,,17,,93,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P18,8tnm590n,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.102.236.103,2016-08-23 20:41:55.997256+00:00,0,144,1,,,18,,94,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P11,fj0yn4t1,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.7.144.239,2016-08-23 20:40:26.468971+00:00,0,137,1,,,11,,87,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P14,x6hjqwpu,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.97.206.141,2016-08-23 20:44:05.709212+00:00,0,140,1,,,14,,90,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P13,b5bqirr4,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.102.236.103,2016-08-23 20:44:41.986182+00:00,0,139,1,,,13,,89,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P20,qhet3425,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.63.227.88,2016-08-23 20:41:03.411213+00:00,0,146,1,,,20,,96,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P10,3ln6dpky,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.55.197,2016-08-23 20:43:50.738662+00:00,0,136,1,,,10,,86,,6.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P12,d1587s7v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-23 20:45:05.646365+00:00,0,138,1,,,12,,88,,9.5,6,6,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P12,s9vmyr55,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.179.236.35,2016-08-24 19:23:22.130324+00:00,0,170,1,,,12,,108,,6.5,7,7,1,0fpbzs3z,,,200.00000,,,,,5000.00,,1,
P7,9ztf0gck,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.167.27,2016-08-24 19:26:18.989753+00:00,0,165,1,,,7,,103,,6.5,7,7,1,0fpbzs3z,,,200.00000,,,,,5000.00,,1,
P4,1ws6fjdv,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.200.15,2016-08-24 19:23:23.546293+00:00,0,162,1,,,4,,100,,6.5,7,7,1,0fpbzs3z,,,200.00000,,,,,5000.00,,1,
P3,qorbl9h6,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.178.66,2016-08-24 19:23:00.624743+00:00,0,161,1,,,3,,99,,6.5,7,7,1,0fpbzs3z,,,200.00000,,,,,5000.00,,1,
P1,sjcpjyj5,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.179.239.229,2016-08-24 19:22:20.332262+00:00,0,159,1,,,1,,97,,6.5,7,7,1,0fpbzs3z,,,200.00000,,,,,5000.00,,1,
