Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.question,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P9,9u8x35yl,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.71.180.223,2016-08-17 19:04:11.505997+00:00,0,87,1,,,9,,33,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P7,2njbmwtf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-17 19:05:29.056666+00:00,0,85,1,,,7,,31,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P10,wwh9j9q5,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.146.193.23,2016-08-17 19:03:39.596168+00:00,0,88,1,,,10,,34,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P2,dddm8emv,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-17 19:07:35.366849+00:00,0,80,1,,,2,,26,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P12,5nqrxmba,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-17 19:02:51.463121+00:00,0,90,1,,,12,,36,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P4,iariod1b,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.179.164.130,2016-08-17 19:06:43.837012+00:00,0,82,1,,,4,,28,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P11,f280m8m4,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-17 19:03:14.552241+00:00,0,89,1,,,11,,35,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P5,u04mxnce,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.178.85.58,2016-08-17 19:06:13.041217+00:00,0,83,1,,,5,,29,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P6,y9ph9u5e,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-17 19:05:52.148749+00:00,0,84,1,,,6,,30,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P1,scjxfhzi,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.178.66,2016-08-17 19:08:45.304727+00:00,0,79,1,,,1,,25,,6.5,3,3,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
